,Circuit breaker Open/Close Status,Disconnector Open/Close Status,Earth switch Open/Close Status,Protection system healthy (Trip circuit healthy),Control level - Local or remote,Protection tripped,Circuit breaker mechanical failure,Auxiliary power failure,Intertrip command send,Intertrip command receive,Current Line 'L1',Current Line 'L2',Current Line 'L3',Voltage Phase 'L1-N',Voltage Phase 'L2-N',Voltage Phase 'L3-N',Active Power,Reactive power,Frequency,Power Factor
61,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37134,37134,37134,15271174,9294390,50.0,0.85
62,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37133,37133,37133,15270454,9304194,50.0,0.85
63,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37133,37133,37133,15269236,9314193,50.0,0.85
64,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37132,37132,37132,15267521,9324379,50.0,0.85
65,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37131,37131,37131,15265310,9334745,50.0,0.85
66,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37131,37131,37131,15262605,9345285,50.0,0.85
67,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37130,37130,37130,15259407,9355992,50.0,0.85
68,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37129,37129,37129,15255719,9366857,50.0,0.85
69,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37129,37129,37129,15251544,9377873,50.0,0.85
70,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37128,37128,37128,15246883,9389034,50.0,0.85
71,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37127,37127,37127,15241741,9400331,50.0,0.85
72,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37127,37127,37127,15236121,9411757,50.0,0.85
73,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37126,37126,37126,15230026,9423303,50.0,0.85
74,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37125,37125,37125,15223462,9434962,50.0,0.85
75,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,160,160,160,37125,37125,37125,15216431,9446727,50.0,0.85
